recipe_name,aggregateRating,flavors,willMakeAgainPct,reviewsCount,url
Skillet Corn Cake with Stewed Cherries,0.0,['cherry' 'lemon'],0,0,/recipes/food/views/skillet-corn-cake-with-stewed-cherries
Crispy Peanut Butter Snack Cake,2.67,['chocolate' 'coconut' 'honey' 'peanut' 'pretzel' 'vanilla'],78,9,/recipes/food/views/crispy-peanut-butter-snack-cake
"Sweet Granita With Blackberries, Toasted Almonds, and Mint",0.0,['almond' 'blackberry' 'lime' 'mint' 'rose'],0,0,/recipes/food/views/sweet-granita-with-blackberries-toasted-almonds-and-mint
Double and By Double I Mean Triple Chocolate Cookies,4.0,['chocolate' 'cocoa' 'coconut'],100,1,/recipes/food/views/chocolate-sunflower-seed-coconut-cookies
BA's Best Carrot Cake,3.86,['carrot' 'cinnamon' 'ginger' 'nutmeg' 'raisin' 'rum' 'vanilla' 'walnut'],86,7,/recipes/food/views/best-carrot-cake
Palm Springs Date Shake,0.0,['cinnamon' 'date' 'vanilla' 'walnut'],0,0,/recipes/food/views/palm-springs-date-shake
Cherry-Cornmeal Upside-Down Cake,3.84,['cherry' 'vanilla'],97,33,/recipes/food/views/cherry-cornmeal-upside-down-cake-242516
Sister Pie Crust,0.0,['apple'],0,0,/recipes/food/views/sister-pie-crust
Candied Carrot Coins,0.0,['carrot'],0,0,/recipes/food/views/candied-carrot-coins
Fruity Berry Tarts with Vanilla Cashew Cream,4.0,"['basil' 'blackberry' 'blueberry' 'cashew' 'date' 'pecan' 'raspberry'
 'vanilla']",80,5,/recipes/food/views/fruity-berry-tarts-with-vanilla-cashew-cream
Roasted Strawberry Trifles with Lemon Cream,4.0,['basil' 'lemon' 'strawberry' 'vanilla'],100,1,/recipes/food/views/roasted-strawberry-trifles-with-lemon-cream
3-Ingredient Peanut Butter Cookies,3.5,['peanut'],90,10,/recipes/food/views/3-ingredient-peanut-butter-cookies
3-Ingredient Fauxnuts With Maple Glaze,0.0,['maple'],0,0,/recipes/food/views/3-ingredient-fauxnuts-with-maple-glaze
3-Ingredient Caramel Apple Hand Pies,0.0,['apple' 'caramel'],0,0,/recipes/food/views/3-ingredient-caramel-apple-hand-pies
Gooey Chocolate Microwave Mug Cake With Caramel Sauce and Peanuts,3.14,['caramel' 'cocoa' 'peanut' 'vanilla'],86,7,/recipes/food/views/gooey-chocolate-microwave-mug-cake-with-caramel-sauce-and-peanuts
French Toast Fingers With Chocolate Hazelnut Spread and Blueberries,0.0,['blueberry' 'coconut' 'hazelnut' 'honey' 'orange' 'vanilla'],0,0,/recipes/food/views/french-toast-fingers-with-chocolate-hazelnut-spread-and-blueberries
Semolina–Lemon Syrup Cakes,3.55,['almond' 'lemon'],82,11,/recipes/food/views/semolina-lemon-syrup-cakes
Matzo Fritters,0.0,['cinnamon'],0,0,/recipes/food/views/matzo-fritters
Chocolate-Avocado Pudding,3.33,['avocado' 'cocoa' 'hazelnut' 'maple' 'orange' 'vanilla'],89,9,/recipes/food/views/vegan-chocolate-avocado-pudding
Coconut–Key Lime Sheet Cake,3.13,['coconut' 'lime' 'vanilla'],81,31,/recipes/food/views/coconut-key-lime-sheet-cake
